message,label
IMPORTANT NOTICE from Amazon | Your account has been suspended due to suspicious activity | Immediate action required | Verify your account within 24 hours or it will be permanently closed | Click here: http://royal-mail-delivery.net/rebook | Do not ignore this message,1
Bro/Sis you need to see this | My friend showed me this crypto platform | Put in £3000 last week | Already showing £10000 profit | Withdrawing tomorrow to prove it's real | Want me to add you?,1
My dearest | You have made me the happiest person | I want to spend my life with you | But I am facing a crisis | stuck at customs and need to pay fees | Can you send £150? | Once I am there with you everything will be perfect | I love you so much,1
Hi it's Ava | I know this seems weird | Had to get a new number urgently | Can you please send £200 via bank transfer? | I'm in a really tight spot | Keep this between us please | I wouldn't ask if it wasn't serious,1
Please help me | I'm stranded at the airport | Missed my flight | Need £200 for a new ticket | PayPal transfer please | I'll sort everything when I'm home | Please it's urgent,1
Emergency situation | I'm okay but I need money right now | $100 via Monzo | Please don't contact my parents yet | I don't want them to worry | Just send it and I'll explain | Thank you please hurry | Please don't tell anyone yet | Time is critical,1
Hey I don't know if you're into crypto but I just made double in 3 days | My guy showed me this platform | You only need to put in $1000 to start | DM me and I'll send you the link | This is not a joke I can show you my earnings,1
This is not spam I promise | I've made £2000 this month alone | All from £250 investment | The platform uses AI trading | Completely passive | Want to see my proof of earnings?,1
Hi it's Chloe | I know this seems weird | Had to get a new number urgently | Can you please send £300 via bank transfer? | I'm in a really tight spot | Keep this between us please,1
Hello | This is Harry | My account was suspended and I need £30 to sort it | Can you transfer via BACS? | I'll sort you out this weekend | Don't mention it to others,1
Listen I know you've heard this before but this is different | I've been using this investment platform for 2 weeks | Already made £8000 | Minimum investment is $2000 | I can refer you and we both get a bonus | Link in my bio | Limited spots available,1
You probably get these messages a lot but hear me out | This is a verified trading platform | I invested £1500 | Got back £10000 | The guy who runs it has 50k followers | Here's the link: http://bit.ly/crypto-gains | Don't miss this,1
Congratulations | Apple has selected you for a loyalty reward of £150 | To claim your reward please verify your account | http://bit.ly/secure-bank-verify | Limited time offer — expires in 24 hours | Do not miss this,1
Hey | I owe you a tenner from last week | Should I Monzo you or give you cash when I see you? | Let me know,0
Something terrible has happened | I can't explain everything now | I need $200 transferred via bank transfer immediately | Please just trust me | I would never ask if it wasn't serious | Don't tell anyone | Please don't tell anyone yet,1
Barclays Important Message | Your account is at risk | We detected a login from an unrecognised device | Please verify immediately to protect your account | Secure link: http://bit.ly/secure-bank-verify | Do not share this link,1
Hi | Thanks for lending me the money last week | I've paid you back via bank transfer | The £50 should show up today,0
Hello my dear | I was just thinking about our future together | The house we will share | Our life | But first I must get past this problem | visa fees | £200 would save everything | I will spend my whole life making it up to you,1
Hey | Using my sister's phone | It's Harry | Got myself in a situation | Need £150 transferred to PayPal immediately | Please help and keep it quiet for now,1
Hey | I'm at the supermarket | Do you need anything? | Just let me know and I'll grab it | No worries if not,0
NatWest Security Alert | Multiple failed login attempts detected | Your account is temporarily restricted | Please verify your identity to restore access | http://dhl-parcel-rebook.com/track | This is an automated security message | Do not reply to this message,1
Hey sorry for the random message | Got a new sim | It's Dan | I'm stuck abroad and my card got blocked | Need £120 urgently via Monzo | Will sort you out when I'm back,1
Please I need your help | Got myself into a bad situation | Need £150 via Venmo immediately | I can't talk right now | Please just send it | I'll make it up to you | Please hurry time is running out | Time is critical,1
Hii sorry random number | It's Ava btw | Lost my wallet and phone abroad | Need £250 urgently | Can you do a BACS transfer? | Will pay back double I swear,1
I need £150 urgently | Please don't ask why right now | Revolut transfer | I promise I'll explain everything tonight | Just please send it now | It's a genuine emergency | Please | Please don't tell anyone yet,1
My angel | Our love is so real to me | I know we haven't met in person yet but my feelings are genuine | I need your help | emergency surgery for my mother | If you can send £800 I can finally come to you | Please my love I am desperate | Please don't tell anyone about our situation,1
Notice: Your HSBC direct debit of £200 has failed | To avoid late fees and account suspension please update your details immediately | http://hmrc-tax-rebate.net/claim-now | Customer Service: http://hmrc-tax-rebate.net/claim-now,1
I need help urgently | I'm stuck abroad | Lost everything | Passport wallet phone | Need $100 for emergency accommodation | Venmo please | Will sort everything when home | Please | Please don't tell anyone yet | Time is critical,1
I've been making passive income for months now and I finally want to share it | This AI trading bot does everything automatically | You invest $300 and it generates £10000 | No experience needed | Send me a DM and I'll walk you through it,1
Hi | Just to confirm I'm coming to yours at 7 | Should I bring wine? | Looking forward to it,0
I've been making passive income for months now and I finally want to share it | This AI trading bot does everything automatically | You invest £800 and it generates double | No experience needed | Send me a DM and I'll walk you through it | Don't miss this,1
Hello my love | I hope you are well | I miss you so much | I am counting the days until we meet | Unfortunately something terrible has happened | business deal gone wrong | I need £800 urgently | Please send via Western Union | I would not ask if I had any other option | Time is running out please hurry,1
Just checking in | Hope you're doing well | Haven't heard from you in a while | Let's catch up soon,0
Hi | I'll send you the money for the shopping tonight | Is PayPal okay? | Or I can do bank transfer if easier,0
You probably get these messages a lot but hear me out | This is a verified trading platform | I invested £5000 | Got back £8000 | The guy who runs it has 50k followers | Here's the link: http://bit.ly/crypto-gains | Don't miss this,1
Hi | Just to confirm I'm coming to yours at 7 | Should I bring wine? | Looking forward to it,0
Hey | Using my sister's phone | It's Oliver | Got myself in a situation | Need £200 transferred to Revolut immediately | Please help and keep it quiet for now | Please reply asap,1
Hey! I've been watching your posts and thought you'd be interested | My cousin works in finance and gave me this tip | £1500 investment | triple return in 7 days | Completely legit | I can vouch for it personally | Limited spots available,1
Please I need your help | Got myself into a bad situation | Need £100 via CashApp immediately | I can't talk right now | Please just send it | I'll make it up to you | Please hurry time is running out | Please don't tell anyone yet | Time is critical,1
This is not spam I promise | I've made £2000 this month alone | All from $300 investment | The platform uses AI trading | Completely passive | Want to see my proof of earnings? | Limited spots available,1
URGENT please read | I'm in hospital right now | Had an accident | Need £50 immediately for treatment | Please send to Revolut | Will explain everything later | Please hurry | Please don't tell anyone yet,1
Hey | Using my sister's phone | It's Emma | Got myself in a situation | Need $50 transferred to BACS immediately | Please help and keep it quiet for now,1
Your parcel from Lloyds Bank could not be delivered | A redelivery fee of £99.99 is required | Please pay here to reschedule: http://paypal-secure-verify.com/login | Your parcel will be returned after 5 days if not claimed,1
I've been making passive income for months now and I finally want to share it | This AI trading bot does everything automatically | You invest £700 and it generates £10000 | No experience needed | Send me a DM and I'll walk you through it,1
Can you remind me what time the thing starts tomorrow? | I keep forgetting to check | Also should I bring anything?,0
My dearest | You have made me the happiest person | I want to spend my life with you | But I am facing a crisis | hospital bills | Can you send £800? | Once I am there with you everything will be perfect | I love you so much | Time is running out please hurry,1
Amazon Security Team | Your payment of £99.99 has been declined | To continue using your account please update your payment information | Secure link: http://amazon-security-alert.net/verify | This link expires in 24 hours,1
Darling I am so sorry to ask this | You know I would never ask unless absolutely necessary | emergency surgery for my mother | I need $1000 transferred urgently | As soon as I am there with you I will sort everything | Please trust me my love | Please don't tell anyone about our situation,1
Can you pick up some milk on your way home? | We've run out | Also bread if they have it | Thanks,0
Hey | Running a bit late to meet you | Should be there in about 15 minutes | Sorry! | Order me a coffee if you get there first,0
Barclays Important Message | Your account is at risk | We detected a login from an unrecognised device | Please verify immediately to protect your account | Secure link: http://hmrc-refund-gov.uk/claim | Do not share this link,1
Something terrible has happened | I can't explain everything now | I need £50 transferred via Venmo immediately | Please just trust me | I would never ask if it wasn't serious | Don't tell anyone | Please don't tell anyone yet | Time is critical,1
Darling I am so sorry to ask this | You know I would never ask unless absolutely necessary | plane ticket to come see you | I need £1000 transferred urgently | As soon as I am there with you I will sort everything | Please trust me my love,1
Morning | Just a reminder that rent is due Friday | No pressure just wanted to give you a heads up | Cheers,0
HMRC Important Message | Your account is at risk | We detected a login from an unrecognised device | Please verify immediately to protect your account | Secure link: http://evri-delivery-reschedule.net | Do not share this link | Do not reply to this message,1
